Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,3418,,,Total Duration(ms)
2019-05-22T12:04:48.707-0400,264,314,69,651,,,,,,,,,571
2019-05-22T12:04:49.359-0400,234,319,127,682,,,,,,,,,571
2019-05-22T12:04:50.042-0400,181,309,75,567,,,,,,,,,572
2019-05-22T12:04:50.609-0400,165,462,80,709,,,,,,,,,572
2019-05-22T12:04:51.319-0400,279,540,84,905,,,,,,,,,572
2019-05-22T12:04:52.224-0400,312,360,71,746,,,,,,,,,572
2019-05-22T12:04:52.971-0400,244,774,81,1102,,,,,,,,,572
2019-05-22T12:04:54.073-0400,241,489,82,814,,,,,,,,,572
2019-05-22T12:04:54.887-0400,209,342,95,647,,,,,,,,,572
2019-05-22T12:04:55.535-0400,201,577,79,863,,,,,,,,,573
2019-05-22T12:04:56.399-0400,216,300,61,581,,,,,,,,,573
2019-05-22T12:04:56.980-0400,193,324,78,599,,,,,,,,,573
2019-05-22T12:04:57.579-0400,200,339,73,614,,,,,,,,,574
2019-05-22T12:04:58.193-0400,205,604,74,888,,,,,,,,,574
2019-05-22T12:04:59.081-0400,240,325,65,635,,,,,,,,,574
2019-05-22T12:04:59.717-0400,237,385,132,755,,,,,,,,,574
2019-05-22T12:05:00.473-0400,172,915,129,1234,,,,,,,,,574
2019-05-22T12:05:01.707-0400,256,362,85,704,,,,,,,,,575
2019-05-22T12:05:02.412-0400,391,308,86,786,,,,,,,,,575
2019-05-22T12:05:03.199-0400,157,1071,83,1316,,,,,,,,,575
2019-05-22T12:05:04.515-0400,226,402,109,739,,,,,,,,,575
2019-05-22T12:05:05.255-0400,232,467,90,793,,,,,,,,,575
2019-05-22T12:05:06.049-0400,275,630,80,994,,,,,,,,,575
2019-05-22T12:05:07.046-0400,233,425,78,738,,,,,,,,,575
2019-05-22T12:05:07.785-0400,223,518,102,845,,,,,,,,,575
2019-05-22T12:05:08.631-0400,218,799,69,1093,,,,,,,,,576
2019-05-22T12:05:09.724-0400,202,364,64,630,,,,,,,,,576
2019-05-22T12:05:10.355-0400,190,299,76,567,,,,,,,,,576
2019-05-22T12:05:10.923-0400,178,303,61,542,,,,,,,,,576
2019-05-22T12:05:11.466-0400,160,726,94,989,,,,,,,,,576
2019-05-22T12:05:12.455-0400,220,321,76,628,,,,,,,,,576
2019-05-22T12:05:13.084-0400,251,347,73,673,,,,,,,,,576
2019-05-22T12:05:13.757-0400,202,330,98,634,,,,,,,,,576
2019-05-22T12:05:14.392-0400,206,684,95,988,,,,,,,,,577
2019-05-22T12:05:15.380-0400,251,464,157,874,,,,,,,,,577
2019-05-22T12:05:16.255-0400,258,311,70,642,,,,,,,,,577
2019-05-22T12:05:16.897-0400,231,818,93,1149,,,,,,,,,577
2019-05-22T12:05:18.046-0400,237,308,63,609,,,,,,,,,577
2019-05-22T12:05:18.656-0400,206,288,62,558,,,,,,,,,577
2019-05-22T12:05:19.215-0400,173,290,138,603,,,,,,,,,577
2019-05-22T12:05:19.819-0400,185,602,82,875,,,,,,,,,577
2019-05-22T12:05:20.694-0400,229,506,99,840,,,,,,,,,578
2019-05-22T12:05:21.534-0400,221,386,89,704,,,,,,,,,578
2019-05-22T12:05:22.239-0400,218,697,89,1010,,,,,,,,,578
2019-05-22T12:05:23.249-0400,254,591,82,945,,,,,,,,,578
2019-05-22T12:05:24.195-0400,199,513,90,805,,,,,,,,,578
2019-05-22T12:05:25.000-0400,210,822,112,1145,,,,,,,,,578
2019-05-22T12:05:26.146-0400,280,430,87,800,,,,,,,,,578
2019-05-22T12:05:26.946-0400,221,314,62,604,,,,,,,,,578
2019-05-22T12:05:27.550-0400,197,1051,77,1328,,,,,,,,,578
2019-05-22T12:05:28.878-0400,243,495,80,821,,,,,,,,,578
2019-05-22T12:05:29.700-0400,249,386,100,738,,,,,,,,,579
2019-05-22T12:05:30.439-0400,210,747,81,1044,,,,,,,,,579
2019-05-22T12:05:31.483-0400,230,346,63,640,,,,,,,,,579
2019-05-22T12:05:32.124-0400,195,489,74,761,,,,,,,,,579
2019-05-22T12:05:32.885-0400,199,422,59,682,,,,,,,,,579
2019-05-22T12:05:33.568-0400,174,339,83,602,,,,,,,,,579
2019-05-22T12:05:34.170-0400,221,292,76,589,,,,,,,,,579
2019-05-22T12:05:34.760-0400,182,351,61,595,,,,,,,,,579
2019-05-22T12:05:35.356-0400,197,264,52,515,,,,,,,,,579
2019-05-22T12:05:35.871-0400,185,938,89,1213,,,,,,,,,580
2019-05-22T12:05:37.085-0400,255,365,86,711,,,,,,,,,580
