Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,6572
2019-05-23T20:20:18.692-0400,284,234,136,655,,,,,,
2019-05-23T20:20:19.348-0400,281,266,136,684,,,,,,
2019-05-23T20:20:20.032-0400,299,266,220,786,,,,,,
2019-05-23T20:20:20.819-0400,277,282,136,704,,,,,,
2019-05-23T20:20:21.523-0400,305,368,132,807,,,,,,
2019-05-23T20:20:22.331-0400,302,260,137,700,,,,,,
2019-05-23T20:20:23.031-0400,309,296,140,746,,,,,,
2019-05-23T20:20:23.777-0400,300,593,129,1023,,,,,,
2019-05-23T20:20:24.801-0400,277,255,144,695,,,,,,
2019-05-23T20:20:25.497-0400,330,331,139,801,,,,,,
2019-05-23T20:20:26.299-0400,289,250,134,684,,,,,,
2019-05-23T20:20:26.983-0400,303,247,142,694,,,,,,
2019-05-23T20:20:27.678-0400,306,329,128,764,,,,,,
2019-05-23T20:20:28.442-0400,286,306,144,737,,,,,,
2019-05-23T20:20:29.180-0400,309,238,137,697,,,,,,
2019-05-23T20:20:29.878-0400,279,104,22,407,,,,,,
2019-05-23T20:20:30.286-0400,314,245,131,703,,,,,,
2019-05-23T20:20:30.989-0400,290,381,127,810,,,,,,
2019-05-23T20:20:31.799-0400,317,240,132,691,,,,,,
2019-05-23T20:20:32.490-0400,296,263,140,700,,,,,,
2019-05-23T20:20:33.191-0400,297,389,164,852,,,,,,
2019-05-23T20:20:34.044-0400,288,258,137,685,,,,,,
2019-05-23T20:20:34.729-0400,298,330,145,785,,,,,,
2019-05-23T20:20:35.514-0400,318,306,138,772,,,,,,
2019-05-23T20:20:36.287-0400,308,365,127,802,,,,,,
2019-05-23T20:20:37.089-0400,271,103,24,399,,,,,,
2019-05-23T20:20:37.489-0400,301,222,129,654,,,,,,
2019-05-23T20:20:38.143-0400,284,281,127,693,,,,,,
2019-05-23T20:20:38.836-0400,288,219,136,645,,,,,,
2019-05-23T20:20:39.482-0400,302,315,178,808,,,,,,
2019-05-23T20:20:40.291-0400,294,269,141,716,,,,,,
2019-05-23T20:20:41.007-0400,292,393,133,819,,,,,,
