Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,
2019-05-23T09:55:59.235-0400,265,453,136,869,,,,,,
2019-05-23T09:56:00.105-0400,239,387,80,712,,,,,,
2019-05-23T09:56:00.818-0400,211,324,515,1062,,,,,,
2019-05-23T09:56:01.880-0400,298,435,67,808,,,,,,
2019-05-23T09:56:02.689-0400,216,425,166,808,,,,,,
2019-05-23T09:56:03.498-0400,271,585,89,951,,,,,,
2019-05-23T09:56:04.449-0400,257,364,109,732,,,,,,
2019-05-23T09:56:05.181-0400,254,455,100,811,,,,,,
2019-05-23T09:56:05.993-0400,243,474,88,807,,,,,,
2019-05-23T09:56:06.800-0400,253,473,169,896,,,,,,
2019-05-23T09:56:07.697-0400,219,537,92,850,,,,,,
2019-05-23T09:56:08.548-0400,642,400,138,1183,,,,,,
2019-05-23T09:56:09.732-0400,226,313,73,613,,,,,,
2019-05-23T09:56:10.345-0400,257,511,131,906,,,,,,
2019-05-23T09:56:11.251-0400,257,426,96,781,,,,,,
2019-05-23T09:56:12.033-0400,211,435,126,773,,,,,,
2019-05-23T09:56:12.806-0400,259,509,100,871,,,,,,
2019-05-23T09:56:13.678-0400,270,444,121,836,,,,,,
2019-05-23T09:56:14.515-0400,303,424,182,911,,,,,,
2019-05-23T09:56:15.427-0400,233,797,79,1110,,,,,,
2019-05-23T09:56:16.538-0400,202,309,179,695,,,,,,
2019-05-23T09:56:17.233-0400,279,467,104,857,,,,,,
2019-05-23T09:56:18.091-0400,339,466,128,936,,,,,,
2019-05-23T09:56:19.027-0400,249,442,84,779,,,,,,
2019-05-23T09:56:19.807-0400,262,467,664,1394,,,,,,
2019-05-23T09:56:21.202-0400,342,365,220,928,,,,,,
2019-05-23T09:56:22.130-0400,199,458,227,895,,,,,,
2019-05-23T09:56:23.025-0400,270,496,65,839,,,,,,
2019-05-23T09:56:23.865-0400,225,764,65,1061,,,,,,
2019-05-23T09:56:24.927-0400,236,390,160,789,,,,,,
2019-05-23T09:56:25.716-0400,238,386,1422,2049,,,,,,
2019-05-23T09:56:27.766-0400,278,784,84,1162,,,,,,
2019-05-23T09:56:28.928-0400,325,400,78,809,,,,,,
2019-05-23T09:56:29.738-0400,214,514,767,1501,,,,,,
2019-05-23T09:56:31.239-0400,245,525,78,850,,,,,,
2019-05-23T09:56:32.094-0400,235,494,872,1604,,,,,,
2019-05-23T09:56:33.699-0400,238,278,109,627,,,,,,
2019-05-23T09:56:34.327-0400,197,324,73,596,,,,,,
2019-05-23T09:56:34.924-0400,215,262,64,541,,,,,,
2019-05-23T09:56:35.465-0400,192,444,181,824,,,,,,
2019-05-23T09:56:36.290-0400,269,462,81,815,,,,,,
2019-05-23T09:56:37.105-0400,290,278,71,640,,,,,,
2019-05-23T09:56:37.745-0400,286,631,108,1043,,,,,,
2019-05-23T09:56:38.789-0400,274,323,63,667,,,,,,
2019-05-23T09:56:39.457-0400,211,239,177,628,,,,,,
2019-05-23T09:56:40.086-0400,185,949,82,1218,,,,,,
2019-05-23T09:56:41.305-0400,259,328,118,706,,,,,,
2019-05-23T09:56:42.012-0400,195,325,73,607,,,,,,
2019-05-23T09:56:42.619-0400,209,659,83,953,,,,,,
2019-05-23T09:56:43.572-0400,269,305,136,714,,,,,,
2019-05-23T09:56:44.287-0400,243,326,210,782,,,,,,
2019-05-23T09:56:45.069-0400,279,787,79,1148,,,,,,
2019-05-23T09:56:46.217-0400,255,484,132,873,,,,,,
2019-05-23T09:56:47.091-0400,208,264,162,641,,,,,,
2019-05-23T09:56:47.732-0400,226,747,92,1067,,,,,,
2019-05-23T09:56:48.799-0400,177,286,57,535,,,,,,
2019-05-23T09:56:49.335-0400,199,271,60,532,,,,,,
2019-05-23T09:56:49.867-0400,316,250,141,708,,,,,,
2019-05-23T09:56:50.575-0400,233,263,76,598,,,,,,
2019-05-23T09:56:51.173-0400,820,307,307,1436,,,,,,
2019-05-23T09:56:52.610-0400,335,665,282,1289,,,,,,
2019-05-23T09:56:53.899-0400,234,410,63,708,,,,,,
2019-05-23T09:56:54.608-0400,212,472,197,892,,,,,,
2019-05-23T09:56:55.501-0400,241,432,125,802,,,,,,
2019-05-23T09:56:56.304-0400,260,552,168,1011,,,,,,
2019-05-23T09:56:57.315-0400,262,357,118,738,,,,,,
2019-05-23T09:56:58.054-0400,191,486,110,789,,,,,,
2019-05-23T09:56:58.843-0400,263,323,1316,1903,,,,,,
2019-05-23T09:57:00.747-0400,246,354,167,768,,,,,,
2019-05-23T09:57:01.516-0400,219,351,402,975,,,,,,
2019-05-23T09:57:02.491-0400,195,325,164,686,,,,,,
2019-05-23T09:57:03.178-0400,206,354,136,701,,,,,,
2019-05-23T09:57:03.879-0400,236,460,158,951,,,,,,
2019-05-23T09:57:04.831-0400,257,328,177,765,,,,,,
2019-05-23T09:57:05.597-0400,259,555,182,998,,,,,,
2019-05-23T09:57:06.595-0400,217,331,502,1059,,,,,,
2019-05-23T09:57:07.655-0400,210,267,110,589,,,,,,
2019-05-23T09:57:08.244-0400,214,515,270,1003,,,,,,
2019-05-23T09:57:09.248-0400,203,288,213,707,,,,,,
2019-05-23T09:57:09.956-0400,242,518,74,835,,,,,,
2019-05-23T09:57:10.792-0400,228,512,1179,1928,,,,,,
2019-05-23T09:57:12.721-0400,206,319,60,586,,,,,,
2019-05-23T09:57:13.307-0400,194,591,75,862,,,,,,
2019-05-23T09:57:14.170-0400,262,291,142,696,,,,,,
